"Country","count"
"Algerian","12"
"American","34"
"Argentinian","10"
"Australian","13"
"Austria","1"
"British","60"
"Canadian","22"
"Chinese","27"
"Croatian","8"
"Dutch","8"
"Egyptian","8"
"Filipino","8"
"French","28"
"Greek","8"
"India","1"
"Indian","14"
"Irish","8"
"Italian","21"
"Jamaican","27"
"Japanese","9"
"Kenyan","5"
"Malaysian","8"
"Mexican","6"
"Moroccan","6"
"Norwegian","18"
"Polish","27"
"Portuguese","8"
"Russian","7"
"Saudi Arabian","12"
"Slovakian","4"
"Spanish","48"
"Syrian","6"
"Thai","27"
"Thailand","1"
"Tunisian","8"
"Turkish","30"
"Ukrainian","7"
"United States","1"
"Uruguayan","9"
"Venezulan","10"
"Vietnamese","27"
